rawmat_id,name_raw,detail,unit,carbon_per_kg,type_raw
19,Propylene,"ผลิตจากกระบวนการ Natural Gas/ Gas Oil Cracking",kg,1.4473,petroleum
20,"Epoxy resin",-,kg,6.686,petroleum
21,"Expanded polystyrene (EPS)",-,kg,4.6127,petroleum
22,"Polyethylene terephthalate (PET)","Polyethylene terephthalate, granulate, bottle",kg,2.8854,petroleum
23,"Polyethylene terephthalate (PET)","Polyethylene terephthalate, granulate, amorphous, at plant ",kg,2.6922,petroleum
24,Polybutadiene,"Polybutadiene, at plant ",kg,3.9106,petroleum
25,Polycarbonate,"Polycarbonate, at plant ",kg,7.776,petroleum
26,"Polyester resin","Polyester resin, unsaturated, at plant ",kg,7.4185,petroleum
27,"Polyurethane (flexible polyurethane)","Polyurethane, flexible foam, at plant ",kg,4.8524,petroleum
28,"Polyurethane (rigid urethane board)","Polyurethane, rigid foam, at plant ",kg,4.3229,petroleum
29,Xylene,"Xylene, at plant ",kg,1.6338,petroleum
30,"Bisphenol A","Bisphenol A, powder, at plant ",kg,4.9162,petroleum
31,"Ethylene Glycol","Ethylene glycol, at plant ",kg,1.428,petroleum
32,"Ethylene oxide","Ethylene oxide, at plant ",kg,1.5746,petroleum
33,"Nylon 6","Nylon 6, at plant ",kg,9.2691,petroleum
34,"Paraffin wax","Paraffin, at plant ",kg,0.7982,petroleum
35,"Alkylbenzene sulfonate","Alkylbenzene sulfonate, linear, petrochemical, at plant ",kg,1.3586,petroleum
36,"Anticrease agent","Ethoxylated alcohols (AE7), petrochemical, at plant ",kg,2.1671,petroleum
37,"Ethoxylated alcohols (AE7)","Ethoxylated alcohols (AE7), petrochemical, at plant ",kg,2.1671,petroleum
38,"Leveling agent","Ethoxylated alcohols (AE7), petrochemical, at plant ",kg,2.1671,petroleum
39,"Soaping agent","Fatty alcohol sulfate, petrochemical, at plant ",kg,2.3372,petroleum
40,"Wetting agent","Fatty alcohol sulfate, petrochemical, at plant ",kg,2.3372,petroleum
